country,population,density
Afghanistan,"42,239,854",65
Albania,"2,832,439",103
Algeria,"45,606,480",19
Andorra,"80,088",170
Angola,"36,684,202",29
Antigua and Barbuda,"94,298",214
Argentina,"45,773,884",17
Armenia,"2,777,970",98
Australia,"26,439,111",3
Austria,"8,958,960",109
Azerbaijan,"10,412,651",126
Bahamas,"412,623",41
Bahrain,"1,485,509","1,955"
Bangladesh,"172,954,319","1,329"
Barbados,"281,995",656
Belarus,"9,498,238",47
Belgium,"11,686,140",386
Belize,"410,825",18
Benin,"13,712,828",122
Bhutan,"787,424",21
Bolivia,"12,388,571",11
Bosnia and Herzegovina,"3,210,847",63
Botswana,"2,675,352",5
Brazil,"216,422,446",26
Brunei,"452,524",86
Bulgaria,"6,687,717",62
Burkina Faso,"23,251,485",85
Burundi,"13,238,559",516
Côte d'Ivoire,"28,873,034",91
Cabo Verde,"598,682",149
Cambodia,"16,944,826",96
Cameroon,"28,647,293",61
Canada,"38,781,291",4
Central African Republic,"5,742,315",9
Chad,"18,278,568",15
Chile,"19,629,590",26
China,"1,425,671,352",152
Colombia,"52,085,168",47
Comoros,"852,075",458
Congo (Congo-Brazzaville),"6,106,869",18
Costa Rica,"5,212,173",102
Croatia,"4,008,617",72
Cuba,"11,194,449",105
Cyprus,"1,260,138",136
Czechia (Czech Republic),"10,495,295",136
Democratic Republic of the Congo,"102,262,808",45
Denmark,"5,910,913",139
Djibouti,"1,136,455",49
Dominica,"73,040",97
Dominican Republic,"11,332,972",235
Ecuador,"18,190,484",73
Egypt,"112,716,598",113
El Salvador,"6,364,943",307
Equatorial Guinea,"1,714,671",61
Eritrea,"3,748,901",37
Estonia,"1,322,765",31
"Eswatini (fmr. ""Swaziland"")","1,210,822",70
Ethiopia,"126,527,060",127
Fiji,"936,375",51
Finland,"5,545,475",18
France,"64,756,584",118
Gabon,"2,436,566",9
Gambia,"2,773,168",274
Georgia,"3,728,282",54
Germany,"83,294,633",239
Ghana,"34,121,985",150
Greece,"10,341,277",80
Grenada,"126,183",371
Guatemala,"18,092,026",169
Guinea,"14,190,612",58
Guinea-Bissau,"2,150,842",76
Guyana,"813,834",4
Haiti,"11,724,763",425
Holy See,518,"1,295"
Honduras,"10,593,798",95
Hungary,"10,156,239",112
Iceland,"375,318",4
India,"1,428,627,663",481
Indonesia,"277,534,122",153
Iran,"89,172,767",55
Iraq,"45,504,560",105
Ireland,"5,056,935",73
Israel,"9,174,520",424
Italy,"58,870,762",200
Jamaica,"2,825,544",261
Japan,"123,294,513",338
Jordan,"11,337,052",128
Kazakhstan,"19,606,633",7
Kenya,"55,100,586",97
Kiribati,"133,515",165
Kuwait,"4,310,108",242
Kyrgyzstan,"6,735,347",35
Laos,"7,633,779",33
Latvia,"1,830,211",29
Lebanon,"5,353,930",523
Lesotho,"2,330,318",77
Liberia,"5,418,377",56
Libya,"6,888,388",4
Liechtenstein,"39,584",247
Lithuania,"2,718,352",43
Luxembourg,"654,768",253
Madagascar,"30,325,732",52
Malawi,"20,931,751",222
Malaysia,"34,308,525",104
Maldives,"521,021","1,737"
Mali,"23,293,698",19
Malta,"535,064","1,672"
Marshall Islands,"41,996",233
Mauritania,"4,862,989",5
Mauritius,"1,300,557",641
Mexico,"128,455,567",66
Micronesia,"544,321",778
Moldova,"3,435,931",105
Monaco,"36,297","24,360"
Mongolia,"3,447,157",2
Montenegro,"626,485",47
Morocco,"37,840,044",85
Mozambique,"33,897,354",43
Myanmar (formerly Burma),"54,577,997",84
Namibia,"2,604,172",3
Nauru,"12,780",639
Nepal,"30,896,590",216
Netherlands,"17,618,299",522
New Zealand,"5,228,100",20
Nicaragua,"7,046,310",59
Niger,"27,202,843",21
Nigeria,"223,804,632",246
North Korea,"26,160,821",217
North Macedonia,"2,085,679",83
Norway,"5,474,360",15
Oman,"4,644,384",15
Pakistan,"240,485,658",312
Palau,"18,058",39
Palestine State,"5,371,230",892
Panama,"4,468,087",60
Papua New Guinea,"10,329,931",23
Paraguay,"6,861,524",17
Peru,"34,352,719",27
Philippines,"117,337,368",394
Poland,"41,026,067",134
Portugal,"10,247,605",112
Qatar,"2,716,391",234
Romania,"19,892,812",86
Russia,"144,444,359",9
Rwanda,"14,094,683",571
Saint Kitts and Nevis,"47,755",184
Saint Lucia,"180,251",295
Saint Vincent and the Grenadines,"103,698",266
Samoa,"225,681",80
San Marino,"33,642",561
Sao Tome and Principe,"231,856",242
Saudi Arabia,"36,947,025",17
Senegal,"17,763,163",92
Serbia,"7,149,077",82
Seychelles,"107,660",234
Sierra Leone,"8,791,092",122
Singapore,"6,014,723","8,592"
Slovakia,"5,795,199",121
Slovenia,"2,119,675",105
Solomon Islands,"740,424",26
Somalia,"18,143,378",29
South Africa,"60,414,495",50
South Korea,"51,784,059",533
South Sudan,"11,088,796",18
Spain,"47,519,628",95
Sri Lanka,"21,893,579",349
Sudan,"48,109,006",27
Suriname,"623,236",4
Sweden,"10,612,086",26
Switzerland,"8,796,669",223
Syria,"23,227,014",126
Tajikistan,"10,143,543",72
Tanzania,"67,438,106",76
